OMNOMICS_Average_Read_Depth,BED_File,BAM_File
,MYD88_ex5_8bp.bed,1131560.bam
,TP53_8bp.bed,1129197.bam
,TP53_8bp.bed,1129953.bam
,TP53_8bp.bed,1129941.bam
,UBA1_ex3.bed,1129267.bam
,KIT_17_8bps.bed,1130186.bam
,BRAF_15.bed,1129950.bam
,JAK2_12.bed,1129546.bam
,MPL_8bps.bed,1127672.bam
,KIT_8-11.13.17.18_8bps.bed,1130841.bam
,PDGFRA_12_14_18.bed,1130842.bam
,JAK2_8bps.bed,1030555.bam
,JAK2_12.bed,1030555.bam
,JAK2_12.bed,1130856.bam
,JAK2_12.bed,1130717.bam
,JAK2_12.bed,1131112.bam
,JAK2_12.bed,1131219.bam
,JAK2_12.bed,1131483.bam
,JAK2_12.bed,1130889.bam
,TP53_8bp.bed,1130182.bam
,TP53_8bp.bed,1130848.bam
,TP53_8bp.bed,1130828.bam
,TP53_8bp.bed,1129953.bam
,TP53_8bp.bed,1129941.bam
,UBA1_8bps.bed,1131452.bam
,CSF3R_13_14_15_16_17_8bp.bed,1131453.bam
,JAK2_CALR_MPL.bed,1130563.bam
,JAK2_CALR_MPL.bed,1130789.bam
,KIT_8-11.13.17.18_8bps,1130841.bam
,Painel_GIST.bed,1130842.bam
,MYD88_ex5_8bp.bed,1131560.bam
,UBA1_ex3.bed,1131452.bam
,JAK2_12.bed,1131958.bam
,JAK2_12.bed,1132103.bam
,JAK2_12.bed,1132092.bam
,JAK2_12.bed,1132568.bam
,JAK2_12.bed,1132912.bam
,JAK2_12.bed,1132887.bam
,JAK2_12.bed,1133103.bam
,JAK2_12.bed,1133060.bam
,UBA1_ex3.bed,1129267B.bam
,MYD88_ex5_8bp.bed,1131999.bam
,MYD88_ex5_8bp.bed,1131857.bam
,UBA1_ex3.bed,1132036.bam
,JAK2_CALR_MPL.bed,1132631.bam
,Painel_SMP-SMD_8bp.bed,1132540.bam
,CXCR4_MYD88.bed,1132389.bam
,CXCR4_MYD88.bed,1133036.bam
,JAK2_12.bed,1133295.bam
,JAK2_12.bed,1133210.bam
,JAK2_12.bed,1133598.bam
,JAK2_12.bed,1133526.bam
,JAK2_12.bed,1133529.bam
,JAK2_12.bed,1133398.bam
,JAK2_12.bed,1133699.bam
,JAK2_12.bed,1133787.bam
,JAK2_12.bed,1134019.bam

